Nome_Cliente,Data_Pedido,Data_Devolucao,Cod_Filme
ROMINO,4/23/13,4/26/13,10248
ANALLO,4/23/13,4/26/13,10249
TRAUES,4/25/13,4/28/13,10250
LAMLET,6/5/2013,09/05/13,10251
FAMRUZ,4/30/13,03/05/13,10252
FRAITT,4/25/13,4/28/13,10253
MAIWEY,1/5/2013,04/05/13,10254
BERUND,4/23/13,4/26/13,10255
CONOWN,3/5/2013,06/05/13,10256
BOTOLN,4/28/13,01/05/13,10257
BLAOOS,2/5/2013,05/05/13,10258
ISLETT,3/5/2013,06/05/13,10259
PRITRO,4/28/13,01/05/13,10260
RICIRA,4/26/13,4/29/13,10261
DUMUNE,4/24/13,4/27/13,10262
TOMPHS,7/5/2013,10/05/13,10263
BONHAN,4/23/13,4/26/13,10264
QUELHO,3/5/2013,06/05/13,10265
ALFERS,4/26/13,4/29/13,10266
FOLSON,4/24/13,4/27/13,10267
FOLNCE,4/5/2013,07/05/13,10268
VICLEY,5/5/2013,08/05/13,10269
HUNNNA,4/30/13,03/05/13,10270
WELNTE,2/5/2013,05/05/13,10271
RATSON,4/24/13,4/27/13,10272
LEHNER,2/5/2013,05/05/13,10273
WANLER,4/24/13,4/27/13,10274
BSBRTH,1/5/2013,04/05/13,10275
OCEADA,6/5/2013,09/05/13,10276
MORUER,2/5/2013,05/05/13,10277
GOUECA,7/5/2013,10/05/13,10278
EASVON,7/5/2013,10/05/13,10279
ANTENO,5/5/2013,08/05/13,10280
SPLGER,4/29/13,02/05/13,10281
QUESTA,1/5/2013,04/05/13,10282
LILLEZ,1/5/2013,04/05/13,10283
HILDEZ,4/27/13,4/30/13,10284
LACINI,4/5/2013,07/05/13,10285
FISOEL,4/28/13,01/05/13,10286
SPEIER,2/5/2013,05/05/13,10287
GALDRA,4/28/13,01/05/13,10288
LINRDO,4/29/13,02/05/13,10289
LONSON,4/28/13,01/05/13,10290
CENANG,4/23/13,4/26/13,10291
BLOAUX,4/26/13,4/29/13,10292
PICPPS,7/5/2013,10/05/13,10293
MAGLLI,5/5/2013,08/05/13,10294
PERDEZ,4/23/13,4/26/13,10295
SEVMAR,4/27/13,4/30/13,10296
TRAAGY,2/5/2013,05/05/13,10297
OTTEIM,4/5/2013,07/05/13,10298
QUIOSS,4/26/13,4/29/13,10299
GREDER,4/29/13,02/05/13,10300
LETRES,1/5/2013,04/05/13,10301
MERERE,4/23/13,4/26/13,10302
LAZEEL,4/27/13,4/30/13,10303
SANSEN,4/23/13,4/26/13,10304
SAVTTI,7/5/2013,10/05/13,10305
GODYRE,6/5/2013,09/05/13,10306
SIMSEN,7/5/2013,10/05/13,10307
WHISKI,1/5/2013,04/05/13,10308
FURUEZ,6/5/2013,09/05/13,10309
THEONG,4/23/13,4/26/13,10310
THEXON,4/29/13,02/05/13,10311
GROIRA,4/5/2013,07/05/13,10312
PARAND,3/5/2013,06/05/13,10313
HANTES,4/28/13,01/05/13,10314
BOLMER,4/23/13,4/26/13,10315
WILNEN,7/5/2013,10/05/13,10316
REGONI,4/27/13,4/30/13,10317
RICOLZ,4/26/13,4/29/13,10318
TORINO,2/5/2013,05/05/13,10319
VAFSEN,6/5/2013,09/05/13,10320
FRARTI,7/5/2013,10/05/13,10321
SUPAIN,3/5/2013,06/05/13,10322
CACSON,4/23/13,4/26/13,10323
VINIOT,4/27/13,4/30/13,10324
COMNSO,4/27/13,4/30/13,10325
FRAKEN,4/23/13,4/26/13,10326
KOEMER,4/25/13,4/28/13,10327
WARALO,1/5/2013,04/05/13,10328
OLDIPS,7/5/2013,10/05/13,10329
ERNDEL,3/5/2013,06/05/13,10330
RANREZ,3/5/2013,06/05/13,10331
NORHER,4/29/13,02/05/13,10332
DRAIEB,4/23/13,4/26/13,10333
ARORDY,4/30/13,03/05/13,10334
CHOANG,4/28/13,01/05/13,10335
HUNMER,3/5/2013,06/05/13,10336
LAUURI,7/5/2013,10/05/13,10337
WOLICZ,4/30/13,03/05/13,10338
ROMINO,2/5/2013,5/5/2013,10339
ANALLO,4/5/2013,7/5/2013,10340
TRAUES,4/27/13,4/30/13,10341
LAMLET,5/5/2013,8/5/2013,10342
FAMRUZ,4/27/13,4/30/13,10343
FRAITT,4/26/13,4/29/13,10344
MAIWEY,6/5/2013,9/5/2013,10345
BERUND,4/29/13,2/5/2013,10346
CONOWN,4/26/13,4/29/13,10347
BOTOLN,6/5/2013,9/5/2013,10348
BLAOOS,6/5/2013,9/5/2013,10349
ISLETT,4/27/13,4/30/13,10350
PRITRO,7/5/2013,10/5/2013,10351
RICIRA,7/5/2013,10/5/2013,10352
DUMUNE,4/29/13,2/5/2013,10353
TOMPHS,4/30/13,3/5/2013,10354
BONHAN,1/5/2013,4/5/2013,10355
QUELHO,4/29/13,2/5/2013,10356
ALFERS,1/5/2013,4/5/2013,10357
FOLSON,4/23/13,4/26/13,10358
FOLNCE,3/5/2013,6/5/2013,10359
VICLEY,4/5/2013,7/5/2013,10360
HUNNNA,5/5/2013,8/5/2013,10361
WELNTE,2/5/2013,5/5/2013,10362
RATSON,4/25/13,4/28/13,10363
LEHNER,2/5/2013,5/5/2013,10364
WANLER,4/28/13,1/5/2013,10365
BSBRTH,4/24/13,4/27/13,10366
OCEADA,7/5/2013,10/5/2013,10367
MORUER,5/5/2013,8/5/2013,10368
GOUECA,4/28/13,1/5/2013,10369
EASVON,4/28/13,1/5/2013,10370
ANTENO,4/24/13,4/27/13,10371
SPLGER,4/30/13,3/5/2013,10372
QUESTA,5/5/2013,8/5/2013,10373
LILLEZ,4/30/13,3/5/2013,10374
HILDEZ,4/25/13,4/28/13,10375
LACINI,4/28/13,1/5/2013,10376
FISOEL,3/5/2013,6/5/2013,10377
SPEIER,4/24/13,4/27/13,10378
GALDRA,4/5/2013,7/5/2013,10379
LINRDO,5/5/2013,8/5/2013,10380
LONSON,2/5/2013,5/5/2013,10381
CENANG,4/23/13,4/26/13,10382
BLOAUX,6/5/2013,9/5/2013,10383
PICPPS,4/28/13,1/5/2013,10384
MAGLLI,1/5/2013,4/5/2013,10385
PERDEZ,4/26/13,4/29/13,10386
SEVMAR,3/5/2013,6/5/2013,10387
TRAAGY,6/5/2013,9/5/2013,10388
OTTEIM,4/30/13,3/5/2013,10389
QUIOSS,4/23/13,4/26/13,10390
GREDER,4/26/13,4/29/13,10391
LETRES,4/5/2013,7/5/2013,10392
MERERE,4/25/13,4/28/13,10393
LAZEEL,7/5/2013,10/5/2013,10394
SANSEN,4/30/13,3/5/2013,10395
SAVTTI,4/27/13,4/30/13,10396
GODYRE,4/24/13,4/27/13,10397
SIMSEN,4/29/13,2/5/2013,10398
WHISKI,5/5/2013,8/5/2013,10399
FURUEZ,4/5/2013,7/5/2013,10400
THEONG,4/28/13,1/5/2013,10401
THEXON,4/5/2013,7/5/2013,10402
GROIRA,4/5/2013,7/5/2013,10403
PARAND,5/5/2013,8/5/2013,10404
HANTES,4/26/13,4/29/13,10405
BOLMER,4/23/13,4/26/13,10406
WILNEN,2/5/2013,5/5/2013,10407
REGONI,4/23/13,4/26/13,10408
RICOLZ,4/23/13,4/26/13,10409
TORINO,4/27/13,4/30/13,10410
VAFSEN,6/5/2013,9/5/2013,10411
FRARTI,7/5/2013,10/5/2013,10412
SUPAIN,4/28/13,1/5/2013,10413
CACSON,4/27/13,4/30/13,10414
VINIOT,4/27/13,4/30/13,10415
COMNSO,4/28/13,1/5/2013,10416
FRAKEN,4/25/13,4/28/13,10417
KOEMER,4/28/13,1/5/2013,10418
WARALO,7/5/2013,10/5/2013,10419
OLDIPS,7/5/2013,10/5/2013,10420
ERNDEL,4/30/13,3/5/2013,10421
RANREZ,4/29/13,2/5/2013,10422
NORHER,4/26/13,4/29/13,10423
DRAIEB,2/5/2013,5/5/2013,10424
ARORDY,2/5/2013,5/5/2013,10425
CHOANG,6/5/2013,9/5/2013,10426
HUNMER,7/5/2013,10/5/2013,10427
LAUURI,4/30/13,3/5/2013,10428
WOLICZ,4/29/13,2/5/2013,10429
ROMINO,4/23/13,4/26/13,10430
ANALLO,4/27/13,4/30/13,10431
TRAUES,5/5/2013,8/5/2013,10432
LAMLET,4/30/13,3/5/2013,10433
FAMRUZ,4/29/13,2/5/2013,10434
FRAITT,4/28/13,1/5/2013,10435
MAIWEY,4/23/13,4/26/13,10436
BERUND,7/5/2013,10/5/2013,10437
CONOWN,4/30/13,3/5/2013,10438
BOTOLN,1/5/2013,4/5/2013,10439
BLAOOS,4/30/13,3/5/2013,10440
ISLETT,7/5/2013,10/5/2013,10441
PRITRO,4/26/13,4/29/13,10442
RICIRA,4/29/13,2/5/2013,10443
DUMUNE,7/5/2013,10/5/2013,10444
TOMPHS,4/29/13,2/5/2013,10445
BONHAN,4/27/13,4/30/13,10446
QUELHO,4/25/13,4/28/13,10447
ALFERS,4/30/13,3/5/2013,10448
FOLSON,4/29/13,2/5/2013,10449
FOLNCE,5/5/2013,8/5/2013,10450
VICLEY,4/25/13,4/28/13,10451
HUNNNA,2/5/2013,5/5/2013,10452
WELNTE,4/24/13,4/27/13,10453
RATSON,4/28/13,1/5/2013,10454
LEHNER,5/5/2013,8/5/2013,10455
WANLER,4/26/13,4/29/13,10456
BSBRTH,4/29/13,2/5/2013,10457
OCEADA,4/30/13,3/5/2013,10458
MORUER,2/5/2013,5/5/2013,10459
GOUECA,5/5/2013,8/5/2013,10460
EASVON,4/23/13,4/26/13,10461
ANTENO,4/27/13,4/30/13,10462
SPLGER,4/25/13,4/28/13,10463
QUESTA,1/5/2013,4/5/2013,10464
LILLEZ,4/25/13,4/28/13,10465
HILDEZ,1/5/2013,4/5/2013,10466
LACINI,5/5/2013,8/5/2013,10467
FISOEL,6/5/2013,9/5/2013,10468
SPEIER,4/29/13,2/5/2013,10469
GALDRA,4/29/13,2/5/2013,10470
LINRDO,7/5/2013,10/5/2013,10471
LONSON,6/5/2013,9/5/2013,10472
CENANG,4/27/13,4/30/13,10473
BLOAUX,4/28/13,1/5/2013,10474
PICPPS,5/5/2013,8/5/2013,10475
MAGLLI,6/5/2013,9/5/2013,10476
PERDEZ,6/5/2013,9/5/2013,10477
SEVMAR,4/30/13,3/5/2013,10478
TRAAGY,4/29/13,2/5/2013,10479
OTTEIM,2/5/2013,5/5/2013,10480
QUIOSS,3/5/2013,6/5/2013,10481
GREDER,4/28/13,1/5/2013,10482
LETRES,4/28/13,1/5/2013,10483
MERERE,7/5/2013,10/5/2013,10484
LAZEEL,4/5/2013,7/5/2013,10485
SANSEN,4/30/13,3/5/2013,10486
SAVTTI,4/25/13,4/28/13,10487
GODYRE,4/29/13,2/5/2013,10488
SIMSEN,6/5/2013,9/5/2013,10489
WHISKI,2/5/2013,5/5/2013,10490
